label,label_noisy
19,19
29,29
0,0
11,11
1,1
86,86
90,3
28,28
23,52
31,31
39,39
96,96
82,23
17,17
71,71
39,39
8,8
97,97
80,80
71,71
74,74
59,59
70,70
87,87
59,14
84,45
64,88
52,52
42,42
64,64
8,8
17,14
47,47
65,23
21,21
22,22
81,81
11,11
24,24
84,84
78,78
45,45
49,49
97,97
56,56
76,76
11,11
90,90
89,7
78,78
73,73
14,14
87,87
9,9
71,71
6,47
47,88
20,20
98,98
47,47
36,36
55,55
72,72
43,57
51,51
35,35
83,83
33,33
27,27
53,53
92,92
50,50
15,15
89,89
36,36
18,18
89,89
46,46
33,33
42,42
39,39
64,64
75,75
38,38
23,23
42,42
66,66
77,77
49,49
18,18
46,46
15,15
35,35
69,31
95,95
83,83
75,75
99,99
73,73
93,93
55,55
39,39
4,4
97,97
61,36
93,93
51,61
69,87
56,56
84,84
59,59
64,64
94,94
4,4
11,11
33,33
68,68
38,38
20,20
33,33
34,34
32,32
46,46
53,53
88,88
67,67
70,70
64,64
53,53
64,38
8,90
96,96
87,70
30,30
20,5
30,3
66,66
19,16
76,76
87,87
52,52
62,21
35,43
63,63
40,40
4,4
99,99
63,32
74,13
53,53
26,26
95,95
48,48
27,27
33,39
29,29
39,39
79,79
32,32
46,46
64,64
28,28
85,85
32,32
82,4
78,78
39,39
54,54
28,28
66,66
65,65
72,72
21,21
64,64
62,81
72,72
0,0
44,44
7,7
12,12
19,19
11,11
31,31
61,61
79,81
45,6
81,81
79,79
98,98
43,43
46,46
67,67
80,80
68,34
74,74
48,48
81,81
94,94
86,86
69,69
39,39
73,73
2,2
46,46
49,60
63,63
43,50
14,51
49,49
68,68
65,65
41,41
37,37
45,45
36,36
21,21
77,77
37,37
39,86
8,8
9,9
62,62
86,86
39,39
19,19
54,54
39,39
28,62
11,11
89,89
90,90
90,90
79,79
66,66
81,81
21,21
79,79
40,40
29,29
22,22
13,48
25,25
11,1
38,67
10,10
96,96
54,54
65,65
39,39
40,86
42,42
48,48
48,48
51,51
11,11
23,23
23,23
89,89
52,5
46,46
2,2
95,95
43,43
86,16
34,34
66,66
18,18
46,76
66,66
56,56
57,57
1,1
44,44
11,11
82,82
23,23
90,90
56,56
19,19
68,68
66,23
28,21
1,1
57,57
67,38
5,5
13,13
78,78
6,6
84,84
7,7
41,41
65,65
80,80
12,12
50,56
63,42
26,26
8,15
53,53
60,60
99,99
97,97
85,21
0,2
78,78
31,31
10,85
2,6
7,7
43,43
83,83
97,97
91,91
82,82
28,16
42,42
0,0
82,82
5,5
68,68
60,60
30,30
98,98
82,82
20,20
64,64
66,66
10,10
75,75
54,90
57,57
87,87
66,66
66,66
73,73
54,54
88,34
42,42
37,37
80,80
87,87
3,0
29,29
43,43
12,12
73,73
96,96
23,23
96,96
84,84
19,19
62,71
0,36
21,21
11,11
36,36
64,87
76,76
60,60
3,3
80,80
82,82
79,79
26,65
65,65
72,72
11,11
15,15
31,31
48,48
12,12
91,91
71,71
87,87
77,77
15,15
7,7
58,58
51,65
55,55
85,85
2,2
3,3
89,89
10,10
3,73
11,71
20,20
4,4
48,48
27,27
48,48
7,7
67,65
3,3
65,65
56,56
9,9
44,44
95,95
46,46
83,83
40,40
58,58
87,87
59,59
18,18
48,48
5,5
88,18
26,25
21,21
24,24
53,53
68,68
49,49
89,52
96,96
92,92
7,7
13,76
99,99
49,49
22,22
56,56
67,67
13,13
97,97
6,6
19,90
76,2
65,65
9,52
71,71
63,63
71,29
18,18
55,54
34,86
18,71
0,0
56,56
23,23
75,75
70,70
78,78
45,45
66,44
91,91
25,25
58,58
90,90
29,29
68,68
35,35
54,56
77,77
97,12
0,0
70,70
75,48
60,29
65,65
5,5
58,50
82,82
49,49
61,61
28,28
44,44
56,41
82,82
61,61
43,70
20,20
38,38
85,85
87,87
49,49
85,85
24,24
7,7
88,88
40,40
38,38
72,72
56,88
4,4
81,81
98,98
97,97
14,14
46,46
23,23
89,89
86,86
83,83
54,54
27,99
41,23
96,96
1,1
81,81
79,79
30,30
17,17
14,42
67,67
20,20
54,3
92,92
33,33
57,57
65,65
49,63
71,71
59,81
85,85
22,22
31,31
85,83
17,17
42,19
62,62
26,30
60,60
27,27
57,62
19,19
97,97
88,88
10,1
31,31
23,23
84,84
74,74
63,63
94,94
77,77
90,92
60,7
5,36
1,1
61,61
95,95
32,32
95,95
57,57
32,32
23,23
39,39
45,45
41,41
69,69
89,79
45,45
47,7
57,96
11,21
48,48
74,33
2,2
11,11
95,95
50,83
37,3
59,59
71,71
84,49
89,89
84,84
70,73
16,16
71,71
8,71
48,22
31,31
98,11
32,32
2,2
74,74
62,62
71,71
90,45
34,34
51,51
0,0
12,12
26,26
57,57
62,62
57,57
31,31
65,26
32,51
16,16
35,33
98,2
11,11
87,87
38,38
52,52
89,89
40,40
76,3
7,70
54,54
76,76
30,59
59,59
84,75
3,3
91,91
46,69
65,65
43,43
49,49
6,6
33,33
5,5
14,43
77,77
44,44
68,68
82,37
94,94
66,66
73,73
56,56
89,89
53,53
22,73
69,69
77,77
84,84
20,35
98,98
4,4
69,69
79,79
40,37
45,71
1,1
56,56
65,65
51,51
5,5
80,80
54,68
92,92
4,4
23,23
60,60
81,81
77,77
73,73
98,30
0,97
14,14
9,9
44,79
27,27
8,8
43,43
74,74
46,46
94,94
86,86
30,30
61,61
57,57
11,47
81,81
25,25
81,81
70,27
29,29
27,27
3,13
71,71
53,53
48,48
19,69
80,80
57,57
19,19
59,59
25,25
56,56
74,40
32,32
98,98
37,37
13,13
45,74
12,24
80,80
64,64
16,16
17,17
24,24
30,30
25,25
96,96
37,37
5,81
98,98
31,31
94,94
5,5
29,29
66,66
51,51
6,6
67,4
50,52
68,68
27,27
62,62
89,89
5,5
11,4
13,42
66,66
55,55
15,15
62,62
74,74
31,31
93,93
59,59
1,44
97,97
32,32
39,37
41,41
62,62
71,71
70,70
98,64
41,41
42,42
70,70
3,3
35,35
90,90
22,22
50,50
61,61
66,13
92,49
53,53
12,12
84,53
33,33
57,57
93,93
79,79
69,69
53,5
9,9
19,19
6,42
20,20
76,76
5,16
98,98
92,92
78,78
93,93
79,41
21,21
51,51
74,95
76,76
56,56
75,75
27,27
22,55
37,37
16,16
72,72
81,81
36,36
48,48
13,13
56,56
70,70
0,0
63,63
90,90
53,2
29,29
64,64
2,22
83,83
63,63
89,89
14,14
66,66
95,95
65,65
85,85
5,5
7,7
58,58
61,92
42,4
59,59
37,37
12,53
42,14
66,66
71,71
40,40
63,63
45,45
19,19
33,33
55,55
26,61
0,0
60,79
72,72
4,4
63,63
76,81
46,46
64,64
96,96
69,53
64,64
75,75
33,33
36,84
26,26
62,62
18,18
48,48
50,50
36,36
26,26
28,28
71,71
76,76
45,45
52,86
65,14
59,59
41,67
69,69
15,15
87,87
50,65
11,11
71,71
36,36
84,84
73,73
46,46
83,12
12,12
79,79
54,66
50,50
75,75
72,72
37,37
91,91
19,19
82,82
22,22
41,41
53,53
14,14
15,15
84,84
11,11
35,88
83,77
36,29
17,17
74,74
26,32
46,46
97,39
85,85
98,2
10,17
63,63
72,72
93,93
45,45
95,95
68,56
